joke_num,text,true_label,llm_classification,confidence,llm_personal_funny,funniness,offensiveness,originality,appropriateness,clarity,upvotes,downvotes,score
11,"[Request] Can someone do the math for me? My friend and I each got tickets to see a show at the Louisville Palace Theater which holds 2,800 people. Without knowing where the other was sitting, he got his tickets assigned via lottery and ours were given by a family member. we ended up getting seats directly next to each other. What are the odds of that happening??",True,NO,8,NO,3,1,5,9,7,3.0,0.0,3.0
12,Events Pre-1600 27 BC – Octavian transfers the state to the free disposal of the Roman Senate and the people,False,NO,8,NO,1,1,1,10,1,,,
13,The Foreign relations of Egypt are the Egyptian government's external relations with the outside world,False,NO,8,NO,1,1,1,10,1,,,
14,[Request] Can someone estimate the ratio between the total number of operations performed by all CPUs in the world per second and the number of neural operations (like synaptic firings) in a single human brain per second?,True,NO,8,NO,2,1,3,9,8,3.0,0.0,3.0
15,"Allan Dwan (born Joseph Aloysius Dwan; April 3, 1885 – December 28, 1981) was a pioneering Canadian-born American motion picture director, producer, and screenwriter",False,NO,8,NO,1,1,1,10,10,,,
16,"[Request] Which keeps a drink cool for longer: adding all the ice at once, or adding one cube at a time? Say you have a drink you're trying to keep cool with a fixed amount of ice. Will you keep it cold longer if you put all your ice in the drink at once; or if you put one cube in at a time, replacing it once it melts, and keeping the others frozen until needed (so they aren't melting until they go in the drink)?",True,NO,9,NO,1,1,2,10,10,9.0,0.0,9.0
17,"[Request] How many cards would one need in order to play Balatro IRL ? For those not familiar, Balatro is a playing card video game. I expect the number to be quite high, if we include all the cards and their possible seals and enhancements. Same for the jokers",True,NO,9,NO,2,1,3,9,7,4.0,0.0,4.0
18,[Request] How many wooden pallets would we need to make to replace the melting ice so polar bears can catch seals and not go extinct?,True,NO,9,NO,6,1,7,9,8,6.0,0.0,6.0
19,"Azincourt (), historically known in English as Agincourt ( ), is a commune in the Pas-de-Calais department in northern France",False,NO,9,NO,1,1,1,10,1,,,
20,"[Request] What Portion of current living humans would be dead if it wasn't for modern medicine ? Including early detecting illnesses, Vaccines, Antibiotics, etc.",True,NO,9,NO,1,1,2,9,1,7.0,0.0,7.0
21,Actinium is a chemical element with the symbol Ac and atomic number 89,False,NO,9,NO,1,1,1,10,10,,,
22,"[Request] If you remove all empty space between molecules and in space, what's the size of the universe Basically the title. Especially if you remove the space between the atoms and molecules",True,NO,8,NO,2,1,3,9,8,4.0,0.0,4.0
23,"[Request] If all the cardboard Amazon ships out in one year were stacked into a cube form, all fully formed in their box form, how big would the cube be? Essentially, what's the total volume of all Amazon boxes shipped, in a cube?",True,NO,8,NO,2,1,5,9,8,3.0,0.0,3.0
24,"[Request] Of Earth, Air, and Water, what has the most volume on our planet? Definition 1: Earth is all solids above the mantle Water is all surface liquids Air is all atmospheric gas What are the volumes of these three categories and which is the largest? ------------------------------------------------ Definition 2 (for bonus points or arguably for more accuracy): Earth includes the mantle and core? Water includes sub-surface liquids Air is the same definition?",True,NO,8,NO,2,1,3,9,8,3.0,0.0,3.0
25,[Request] what is the slowest speed you can throw a bowling ball and still get a strike. I know the optimal speed is 15-18 mph. But i am curious about the absolute low end of speed that would still result in a strike. Thanks!,True,NO,9,NO,2,1,3,9,8,6.0,0.0,6.0
26,"Transport in the Maldives includes, road, water and air",False,NO,9,NO,1,1,1,10,10,,,
27,"The (GBA) is a 32-bit handheld game console developed, manufactured and marketed by Nintendo as the successor to the Game Boy Color",False,NO,9,NO,1,1,1,10,10,,,
28,"Chastity, also known as purity, is a virtue related to temperance",False,NO,8,NO,1,1,1,10,10,,,
29,"George Mason University (Mason or GMU) is a public research university in Fairfax County, Virginia",False,NO,8,NO,1,1,1,10,10,,,
30,How many world sandwiches can be made? [Request] how many world sandwiches (two slices of regular sliced bread placed at precisely opposite sides of the planet) is it theoretically possible to make? assuming both need to be placed on land.,True,NO,8,NO,6,1,8,9,7,4.0,0.0,4.0
31,The Diesel cycle is a combustion process of a reciprocating internal combustion engine,False,NO,9,NO,1,1,1,10,10,,,
32,"[Request] If we shrunk down a human to the size of an ant, how high could they jump relative to their bodyweight? We always hear how strong ants are but the general consensus is that for our size, our relative strength is far more impressive. If we maintained our design and proportions, does this not mean we could be even relatively stronger if we got smaller? We already see this is little people who can lift 5 times their bodyweight. How many times bodyweight could we lift we were ant sized?",True,NO,9,NO,2,1,5,9,7,5.0,0.0,5.0
33,[Request] Can someone explain (simply) how the 3 door problem works Yk the 1 where u have 3 doors and ur tryna get the money behind 1 and they ask if u wanna switch doors,True,NO,9,NO,2,1,3,9,4,59.0,0.0,59.0
34,"Design Science License (DSL) is a copyleft license for any type of free content such as text, images, music",False,NO,8,NO,2,1,3,9,8,,,
35,"[Request] How big would the moon need to be to generate a high tide that could cover Mount Everest completely? Assuming no change in all variables such as distance between earth and moon, total volume of water in the world etc. If it were impossible to cover Mount Everest completely, how high would the high tide reach theoretically? Thanks.",True,NO,8,NO,2,1,5,9,8,4.0,0.0,4.0
36,"[Request] What if there was a 100 seconds in each minute, 100 minutes in each hour, and 25 hours in each day? How fast would a second be if there was a 100 seconds in each minute, 100 minutes in each hour, and 25 hours in each day? Considering the sun still rises and sets at the same “time” but instead of 24 hours we had 25? How fast in real seconds would this new second be? Couldn’t figure out where to even start, anyone have an idea?",True,NO,8,NO,2,1,5,9,3,18.0,0.0,18.0
37,"In card games, a burn card is a playing card dealt from the top of a deck, and discarded (""burned""), unused by the players",False,NO,8,NO,2,1,3,9,8,,,
38,"[Request] How much money has Oakland, CA lost due to three men’s sports teams leaving? I was wondering if anyone is able to somehow calculate the economic impact of Oakland losing its big three men’s sports teams. Oakland is in an awful budget crisis and I was curious how much could be attributed to losing all of the direct and indirect income that comes with men’s professional sports. Thanks!",True,NO,8,NO,1,1,2,9,8,13.0,0.0,13.0
39,Lead is a chemical element with the symbol Pb (from the Latin ) and atomic number 82,False,NO,8,NO,1,1,1,10,10,,,
40,Ethylene (IUPAC name: ethene) is a hydrocarbon which has the formula or H2C=CH2,False,NO,8,NO,1,1,1,10,10,,,
41,[Request] How many fire extinguishers would it take to fully cool down molten lava from a volcano? Assume average lava flow temp. Let’s go full MythBusters on this.,True,NO,8,NO,6,1,7,9,8,2.0,0.0,2.0
42,[Request] How much mass do words add to a sheet of paper once its filled. How much heavier is a piece of standard printer paper before vs after writing. Asume the page is top to bottom filled in mla format with standard printer ink and average word length.,True,NO,8,NO,3,1,7,9,8,2.0,0.0,2.0
43,"James Cook (7 November 172814 February 1779) was a British explorer, navigator, cartographer, and captain in the British Royal Navy, famous for his three voyages between 1768 and 1779 in the Pacific Ocean and to Australia in particular",False,NO,9,NO,1,1,1,10,10,,,
44,"In abstract algebra, a monoid ring is a ring constructed from a ring and a monoid, just as a group ring is constructed from a ring and a group",False,NO,9,NO,2,1,3,9,4,,,
45,"[Request] How strong would wind blowing at a wall have to be for you to be able to crawl up said wall? Say someone of 150lbs was to be blown against a wall by a constant force, what would the needed force be in mph?",True,NO,9,NO,3,1,6,8,7,7.0,0.0,7.0
46,Fluorescence is the emission of light by a substance that has absorbed light or other electromagnetic radiation,False,NO,8,NO,1,1,1,10,10,,,
47,[Request] What would happen if there was no nitrogen in air?,True,NO,8,NO,2,1,3,9,8,15.0,0.0,15.0
48,Mathematical logic is the study of formal logic within mathematics,False,NO,8,NO,1,1,1,10,10,,,
49,"Aage Niels Bohr (; 19 June 1922 – 8 September 2009) was a Danish nuclear physicist who shared the Nobel Prize in Physics in 1975 with Ben Mottelson and James Rainwater ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",False,NO,10,NO,1,1,1,10,1,,,
50,Ethiopian cuisine (; ) characteristically consists of vegetable and often very spicy meat dishes,False,NO,10,NO,1,1,1,10,1,,,
51,[Request] Atoms of Oxygen Are there more atoms of oxygen in the atmosphere or in all of the oceans?,True,NO,10,NO,2,1,3,9,5,3.0,0.0,3.0
52,"Caber can refer to: Caber toss, a sport Places Caber, Çivril, a village in Çivril District, Denizli Province, Turkey Caber, Sarayköy, a village in Sarayköy District, Denizli Province, Turkey Çabër, a village in Zubin Potok, Mitrovica district, Kosovo Other uses CaBER, Capillary Breakup Extensional Rheometer Caber (comics), a deity in Marvel Comics Caber Music, a British record label founded in 1998 by Tom Bancroft See also Kaber (disambiguation)",False,NO,9,NO,1,1,1,10,10,,,
53,[Request] Emissions question Which is environmental impact of using toilet paper? Could it be quantified as X kg of meat (say chicken) eaten per person pr year? From what I understand both aren't good for the environment and there are better alternatives available. But this is a mathematical question. Thanks,True,NO,9,NO,3,1,5,8,6,2.0,0.0,2.0
54,"In economics, factors of production, resources, or inputs are what is used in the production process to produce output—that is, finished goods and services",False,NO,9,NO,1,1,1,10,10,,,
55,"Fiji ( , ,; , ; , Fijī), officially the Republic of Fiji, is an island country in Melanesia, part of Oceania in the South Pacific Ocean",False,NO,10,NO,1,1,1,10,1,,,
56,"[Request] What percentage of a cat is fur? It's 1:30 am which is why I'm thinking such a stupid thought, but my cat is really fluffy. When you see a sphinx cat, those visibly look way smaller. So what percentage of a cat's mass would fur be on a long haired cat? And what percentage of a cat's volume would it be? Thanks in advance",True,NO,10,NO,3,1,7,9,8,7.0,0.0,7.0
57,"[Request] If a constant source of neutrinos was high enough for Cherenkov radiation (CR) to be visible to the naked eye, how long would you have left to live? Your in earth's STP atmosphere, and the cherenkov radiation would be from charged secondary particles. The Super-Kamiokande will be a good basis, but you'll need to account for being in atmosphere not water.",True,NO,10,NO,2,1,5,8,3,4.0,0.0,4.0
58,Automobiles Ettore Bugatti was a German then French manufacturer of high-performance automobiles,False,NO,9,NO,1,1,1,10,1,,,
59,"[request]Child support for a lot of people I'm writing a story where one of the charactersay or may not be the father of around a million people through shady genetic experiments. Another character quips that they must owe a lot in child support in the US alone. From the ages of 1 to 18, how much could this one person theoretically owe in child support for 1 million people in the US?",True,NO,9,NO,6,2,7,8,9,2.0,0.0,2.0
60,[request] Fire pit math. So if I have access to bricks that are 8” at on one side and 6” on the short side. How many to make a circle? What would the diameter of the circle be? Any wiggle room for gaps between the bricks (mortar). I’d like to think I can figure this one out but I’d like another opinion.,True,NO,9,NO,2,1,3,9,8,5.0,0.0,5.0
61,[Request] Could a silverback gorilla split a person in half at the waist? How much strength is needed for this?,True,NO,9,NO,2,3,5,6,7,3.0,0.0,3.0
62,"is a Japanese science fantasy anthology media franchise created by Hironobu Sakaguchi, and developed and owned by Square Enix (formerly Square)",False,NO,9,NO,1,1,1,10,1,,,
63,"Arnold Alois Schwarzenegger (; ; born July 30, 1947) is an Austrian-American actor, former bodybuilder, film producer, businessman, and former politician who served as the 38th governor of California from 2003 to 2011",False,NO,9,NO,1,1,1,10,10,,,
64,[Request] A European decides to not buy a 1-euro soda in order to boycott the US. How much of this 1 euro would have actually gone to finance the American Federal Government?,True,YES,9,NO,4,2,6,8,5,35.0,0.0,35.0
65,Transport in Jersey is primarily through the motor vehicle,False,YES,9,NO,1,1,1,10,10,,,
66,"[Self] Today’s date, 4/25/25, is 3 perfect squares. Today is the 100th time that has happened for you, if you were born between 9/25/64 and 1/1/81 For millennials like myself, today is the 85th occasion. For anyone born this century, it’s much lower. After this year, we must wait 11 years for any more of these dates!",True,YES,9,NO,3,1,7,9,5,67.0,0.0,67.0
67,"[Request] Odds of a specific EZ Baccarat hand. A casino near me is having a jackpot on ez baccarat were if a panda beats a dragon and all 6 cards used are suited everyone playing gets to spilt 50,000. They use an 8 deck shoe, I'm wondering what the odds are for this to actually happen.",True,NO,8,NO,2,1,3,9,8,3.0,0.0,3.0
68,"Keynesian economics ( ; sometimes Keynesianism, named after British economist John Maynard Keynes) are the various macroeconomic theories and models of how aggregate demand (total spending in the economy) strongly influences economic output and inflation",False,NO,8,NO,1,1,1,10,10,,,
69,[Request] How big of a hot air balloon do I need to hold a 400lb pallet and lower it onto a platform from above? Is there some guideline for what sized balloon I would need?,True,NO,8,NO,2,1,3,9,8,2.0,0.0,2.0
70,Food is any substance consumed to provide nutritional support for an organism,False,NO,8,NO,1,1,1,10,10,,,
71,GeekSpeak is a podcast with two to four hosts who focus on technology and technology news of the week,False,NO,8,NO,1,1,2,10,10,,,
72,"The Council of Chalcedon (; ; , Synodos tēs Chalkēdonos) was the fourth ecumenical council of the Christian church, convoked by Emperor Marcian",False,NO,8,NO,1,1,1,10,1,,,
73,"The Union of the Comoros consists of the three islands Njazidja (Grande Comoros), Mwali (Moheli) and Nzwani (Anjouan) while the island of Mayotte remains under French administration",False,NO,9,NO,1,1,1,10,10,,,
74,[Request] Im so unlucky I rolled in a game 830 times and there is an item I wanted that is a 4% chance I got 0 of them. What is this probability? 1/10000 1/100000 or more? Help calculate this cause I’m not good with percentages.,True,NO,9,NO,3,1,4,9,7,9.0,0.0,9.0
75,The House of Orange is a branch of the House of Nassau active in European politics,False,NO,9,NO,2,1,3,9,8,,,
76,"Abraham Joshua Heschel (January 11, 1907 – December 23, 1972) was a Polish-born American rabbi and one of the leading Jewish theologians and Jewish philosophers of the 20th century",False,NO,9,NO,1,1,1,10,10,,,
77,[request] how many nukes to STOP a meteor To literally stop one traveling at avg meteor speed lol. Say it’s a planet killer. 10km cubed. How many nukes head on to make it “stop” and just float there. Assuming the nukes do no dmg to it at all and only affects the velocity. Also assume all nukes are same type. Choose your nuke?,True,NO,9,NO,3,1,7,8,6,8.0,0.0,8.0
78,"Stephen Donaldson (July 27, 1946 – July 18, 1996), born Robert Anthony Martin Jr and also known by the pseudonym Donny the Punk, was an American bisexual rights activist, and political activist",False,NO,9,NO,1,1,1,10,1,,,
79,"[Request] Could I heat my home with bitcoin? I have been wondering about this for a couple weeks now. Could I mine bitcoin and use the heat produced to heat an average home? As almost all electrical energy is converted into heat energy could I use a computer to mine bitcoin, use the heat produced to heat my home and sell the bitcoin for free heating?",True,YES,9,YES,6,1,8,9,7,10.0,0.0,10.0
80,[request] how bright would a flashlight (torch) need to be to be able to feel recoil?,True,YES,9,YES,6,1,7,9,8,7.0,0.0,7.0
81,[request] Could a winding road be altered so each curve is cantered to such a degree that you do not need to turn your steering wheel? Could there be a road that crosses the country where you just drive straight and the road does the turning for you?,True,YES,9,YES,6,1,8,9,7,5.0,0.0,5.0
82,ArgoUML is an UML diagramming application written in Java and released under the open source Eclipse Public License,False,NO,8,NO,1,1,1,10,10,,,
83,[REQUEST] How much of the moon would have to disappear before it no longer affected the tides?,True,NO,8,NO,2,1,3,9,8,2.0,0.0,2.0
84,"The Asian Development Bank (ADB) is a regional development bank established on 19 December 1966, which is headquartered in the Ortigas Center located in the city of Mandaluyong, Metro Manila, Philippines",False,NO,8,NO,1,1,1,10,10,,,
85,[Request] How many choices on a ranked choice ballot that needs to select 5 winners from 18 candidates? A student body is going to vote to create a council of 5; there are 18 applicants. How many votes should I allow voters to cast/rank in order to best avoid ties while minimizing complexity of tallying/counting? Is 5 sufficient?,True,NO,8,NO,1,1,1,10,1,4.0,0.0,4.0
86,[Request] How much oxygen is sequestered in all of the tires in the world?,True,NO,8,NO,2,1,5,9,7,2.0,0.0,2.0
87,"Events Pre-1600 38 BC – Octavian divorces his wife Scribonia and marries Livia Drusilla, ending the fragile peace between the Second Triumvirate and Sextus Pompey",False,NO,8,NO,2,1,3,9,4,,,
88,"[Request] Is there a maximum height for a mountain? Like, if the Himalayas kept growing forever, would the whole thing eventually topple over under its own weight? If so, how high would it need to be? Does it matter if it’s a single mountain vs. a whole mountain range? Or would the height limit be the same?",True,NO,9,NO,2,1,4,9,8,3.0,0.0,3.0
89,"Lev Davidovich Bronstein ( – 21 August 1940), better known as Leon Trotsky (), was a Ukrainian-Russian Marxist revolutionary, political theorist and politician",False,NO,9,NO,1,1,1,10,1,,,
90,"Load is the sixth studio album by the American heavy metal band Metallica, released on June 4, 1996 by Elektra Records in the United States and by Vertigo Records internationally",False,NO,9,NO,1,1,1,10,1,,,
91,"Gian Lorenzo (or Gianlorenzo) Bernini (, , ; Italian Giovanni Lorenzo; 7 December 159828 November 1680) was an Italian sculptor and architect",False,NO,10,NO,1,1,1,10,1,,,
92,"[Request] How much processing power would a global human hivemind generate ? Hi, let's say all of human population after the age of 25 decided to use 80 percent of their brain to process data for advancement of humanity may it be space exploration, medicine etc. 1. How much processing power would that generate if it ran for 24/7 ? 2. How much if it ran only when they slept ? 3. will that be efficient in any way compared to current computers ? or even as supplement to the current supercomputers ?",True,NO,10,NO,2,1,6,9,7,5.0,0.0,5.0
93,Flavius Honorius (9 September 384 – 15 August 423) was Roman emperor from 393 to 423,False,NO,10,NO,1,1,1,10,1,,,
94,"In economics, Kondratiev waves (also called supercycles, great surges, long waves, K-waves or the long economic cycle) are hypothesized cycle-like phenomena in the modern world economy",False,NO,9,NO,1,1,1,10,10,,,
95,"[REQUEST] I should know this but I don't. If there are 5 prizes and 100 tickets, are the odds of winning 1/100 or 1/20?",True,NO,9,NO,2,1,3,9,8,4.0,0.0,4.0
96,Dildo nuke [Request] How tall would a person have to be to use a nuke as a dildo,True,NO,9,NO,3,8,6,2,5,2.0,0.0,2.0
97,"[Request] how much duckpower does a duck have? Duckpower is a joke measurement equal to about 0.0076 horsepower. A horse has at maximum around 15 horsepower, so my question is if 1 horse isn't equal to one horsepower, what's the maximum duckpower one duck could produce?",True,YES,8,YES,7,1,8,9,7,8.0,0.0,8.0
98,"[Request] Every time someone says a swear word, a banana appears somewhere in the world. How many bananas would appear in a day? 3 days? A week?",True,YES,8,YES,6,2,7,8,9,3.0,0.0,3.0
99,"Diophantus of Alexandria (; born probably sometime between AD 200 and 214; died around the age of 84, probably sometime between AD 284 and 298) was an Alexandrian mathematician, who was the author of a series of books called Arithmetica, many of which are now lost",False,YES,8,YES,1,1,1,10,10,,,
100,"Events Pre-1600 313 – The decisions of the Edict of Milan, signed by Constantine the Great and co-emperor Valerius Licinius, granting religious freedom throughout the Roman Empire, are published in Nicomedia",False,NO,9,NO,1,1,1,10,1,,,
101,"Henry VII may refer to: Henry VII of England (1457–1509), King of England and Lord of Ireland from 1485 until his death in 1509; the founder of the House of Tudor Henry VII, Duke of Bavaria (died 1047), count of Luxembourg (as Henry II) from 1026 and duke of Bavaria from 1042 until his death Henry (VII) of Germany (1211–1242), King of Sicily from 1212, Duke of Swabia from 1216, and King of Germany from 1220 Henry VII, Holy Roman Emperor (c",False,NO,9,NO,1,1,1,10,10,,,
102,"In Greek mythology, Agamemnon (; Agamémnōn) was a king of Mycenae, the son, or grandson, of King Atreus and Queen Aerope, the brother of Menelaus, the husband of Clytemnestra and the father of Iphigenia, Electra or Laodike (Λαοδίκη), Orestes and Chrysothemis",False,NO,9,NO,1,1,1,10,10,,,
103,Jacobite means follower of Jacob or James,False,NO,8,NO,2,1,3,9,8,,,
104,[Request] 12oz curls Shower thoughts……..How many cans of beer would someone have to drink in order to get a workout (that would increase muscle) from lifting (to drink) the 12oz cans?,True,NO,8,NO,6,1,7,9,8,2.0,0.0,2.0
105,Placeholder,False,NO,8,NO,5,3,4,7,6,,,
